value,unit,component_inchi_0
-30.0,Celcius,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
-18.3,Celcius,InChI=1S/C3H6O/c1-3(2)4/h1-2H3
-56.0,Celcius,"InChI=1S/C3H6O/c1-3-4-2/h3H,1H2,2H3"
52.0,Celcius,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)"
-4.0,Celcius,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3"
-10.0,Celcius,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3
14.0,Celcius,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3
108.0,Celcius,"InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)"
58.0,Celcius,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3"
36.0,Celcius,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3"
-104.0,Celcius,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
15.0,Celcius,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
11.7,Celcius,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
-37.0,Celcius,"InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3"
99.0,Celcius,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3"
-32.0,Celcius,"InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3"
40.0,Celcius,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3"
79.0,Celcius,"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2"
177.0,Celcius,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2"
77.0,Celcius,"InChI=1S/C3H9NO/c1-2-3(4)5/h3,5H,2,4H2,1H3"
79.4,Celcius,"InChI=1S/C3H9NO/c4-2-1-3-5/h5H,1-4H2"
-60.0,Celcius,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
74.0,Celcius,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3"
37.0,Celcius,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
24.0,Celcius,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3"
-20.0,Celcius,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3"
-45.0,Celcius,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
28.0,Celcius,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3"
11.0,Celcius,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3"
46.0,Celcius,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3"
38.0,Celcius,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3"
-17.0,Celcius,"InChI=1S/C4H10O2/c1-4(5-2)6-3/h4H,1-3H3"
121.0,Celcius,"InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3"
14.7,Celcius,"InChI=1S/C4H10O3/c1-5-4(6-2)7-3/h4H,1-3H3"
-29.0,Celcius,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3"
40.5,Celcius,"InChI=1S/C4H11NO/c1-5(2)3-4-6/h6H,3-4H2,1-2H3"
-35.0,Celcius,InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H
13.0,Celcius,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+"
-7.0,Celcius,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3"
-47.0,Celcius,"InChI=1S/C4H6O/c1-3-5-4-2/h3-4H,1-2H2"
77.0,Celcius,"InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6)"
